country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Barbados,2004,female,55-74 years,0,22134,0.0,Barbados2004,,"3,514,350,000",13786,Silent
Barbados,2004,male,55-74 years,0,18209,0.0,Barbados2004,,"3,514,350,000",13786,Silent
Barbados,2005,male,35-54 years,1,38767,2.58,Barbados2005,0.765,"3,897,300,000",15230,Boomers
Barbados,2005,female,15-24 years,0,19501,0.0,Barbados2005,0.765,"3,897,300,000",15230,Millenials
Barbados,2005,female,25-34 years,0,20457,0.0,Barbados2005,0.765,"3,897,300,000",15230,Generation X
Barbados,2005,female,55-74 years,0,22723,0.0,Barbados2005,0.765,"3,897,300,000",15230,Silent
Barbados,2005,male,15-24 years,0,19524,0.0,Barbados2005,0.765,"3,897,300,000",15230,Millenials
Barbados,2005,male,75+ years,0,5683,0.0,Barbados2005,0.765,"3,897,300,000",15230,Silent
Barbados,2006,male,75+ years,1,5792,17.27,Barbados2006,,"4,246,600,000",16531,Silent
Barbados,2006,female,15-24 years,0,19383,0.0,Barbados2006,,"4,246,600,000",16531,Millenials
Barbados,2006,female,25-34 years,0,20256,0.0,Barbados2006,,"4,246,600,000",16531,Generation X
Barbados,2006,female,35-54 years,0,42772,0.0,Barbados2006,,"4,246,600,000",16531,Boomers
Barbados,2006,female,5-14 years,0,18922,0.0,Barbados2006,,"4,246,600,000",16531,Millenials
Barbados,2006,female,75+ years,0,9430,0.0,Barbados2006,,"4,246,600,000",16531,Silent
Barbados,2006,male,15-24 years,0,19356,0.0,Barbados2006,,"4,246,600,000",16531,Millenials
Barbados,2007,female,35-54 years,0,43042,0.0,Barbados2007,,"4,523,750,000",17528,Boomers
Barbados,2007,female,55-74 years,0,24071,0.0,Barbados2007,,"4,523,750,000",17528,Silent
Barbados,2007,male,35-54 years,0,39190,0.0,Barbados2007,,"4,523,750,000",17528,Boomers
Barbados,2007,male,55-74 years,0,20249,0.0,Barbados2007,,"4,523,750,000",17528,Silent
Barbados,2008,female,35-54 years,1,43278,2.31,Barbados2008,,"4,607,300,000",17760,Boomers
Barbados,2008,female,15-24 years,0,19070,0.0,Barbados2008,,"4,607,300,000",17760,Millenials
Barbados,2008,female,25-34 years,0,19912,0.0,Barbados2008,,"4,607,300,000",17760,Generation X
Barbados,2008,female,5-14 years,0,18667,0.0,Barbados2008,,"4,607,300,000",17760,Generation Z
Barbados,2008,female,55-74 years,0,24852,0.0,Barbados2008,,"4,607,300,000",17760,Silent
Barbados,2008,female,75+ years,0,9658,0.0,Barbados2008,,"4,607,300,000",17760,Silent
Barbados,2008,male,15-24 years,0,19029,0.0,Barbados2008,,"4,607,300,000",17760,Millenials
Barbados,2008,male,25-34 years,0,19259,0.0,Barbados2008,,"4,607,300,000",17760,Generation X
Barbados,2008,male,5-14 years,0,19341,0.0,Barbados2008,,"4,607,300,000",17760,Generation Z
Barbados,2008,male,75+ years,0,5958,0.0,Barbados2008,,"4,607,300,000",17760,Silent
Barbados,2009,male,75+ years,1,6022,16.61,Barbados2009,,"4,434,050,000",17007,Silent
Barbados,2009,male,35-54 years,3,39442,7.61,Barbados2009,,"4,434,050,000",17007,Boomers
Barbados,2009,male,55-74 years,1,21837,4.58,Barbados2009,,"4,434,050,000",17007,Silent
Barbados,2009,female,15-24 years,0,18898,0.0,Barbados2009,,"4,434,050,000",17007,Millenials
Barbados,2009,female,25-34 years,0,19762,0.0,Barbados2009,,"4,434,050,000",17007,Generation X
Barbados,2009,female,35-54 years,0,43400,0.0,Barbados2009,,"4,434,050,000",17007,Boomers
Barbados,2009,female,5-14 years,0,18606,0.0,Barbados2009,,"4,434,050,000",17007,Generation Z
Barbados,2009,female,75+ years,0,9752,0.0,Barbados2009,,"4,434,050,000",17007,Silent
Barbados,2009,male,25-34 years,0,19044,0.0,Barbados2009,,"4,434,050,000",17007,Generation X
Barbados,2010,male,35-54 years,3,39379,7.62,Barbados2010,0.78,"4,461,650,000",17034,Generation X
Barbados,2010,female,15-24 years,0,18739,0.0,Barbados2010,0.78,"4,461,650,000",17034,Millenials
Barbados,2010,female,5-14 years,0,18590,0.0,Barbados2010,0.78,"4,461,650,000",17034,Generation Z
Barbados,2010,female,75+ years,0,9853,0.0,Barbados2010,0.78,"4,461,650,000",17034,Silent
Barbados,2010,male,25-34 years,0,18826,0.0,Barbados2010,0.78,"4,461,650,000",17034,Generation X
Barbados,2010,male,5-14 years,0,19462,0.0,Barbados2010,0.78,"4,461,650,000",17034,Generation Z
Barbados,2010,male,75+ years,0,6086,0.0,Barbados2010,0.78,"4,461,650,000",17034,Silent
Barbados,2011,female,35-54 years,0,43221,0.0,Barbados2011,0.786,"4,660,900,000",17708,Generation X
Barbados,2011,female,5-14 years,0,18501,0.0,Barbados2011,0.786,"4,660,900,000",17708,Generation Z
Barbados,2011,female,55-74 years,0,27506,0.0,Barbados2011,0.786,"4,660,900,000",17708,Boomers
Barbados,2011,female,75+ years,0,10011,0.0,Barbados2011,0.786,"4,660,900,000",17708,Silent
Barbados,2011,male,15-24 years,0,18668,0.0,Barbados2011,0.786,"4,660,900,000",17708,Millenials
Barbados,2011,male,25-34 years,0,18675,0.0,Barbados2011,0.786,"4,660,900,000",17708,Millenials
Barbados,2011,male,35-54 years,0,39290,0.0,Barbados2011,0.786,"4,660,900,000",17708,Generation X
Barbados,2011,male,5-14 years,0,19431,0.0,Barbados2011,0.786,"4,660,900,000",17708,Generation Z
Barbados,2011,male,55-74 years,0,23496,0.0,Barbados2011,0.786,"4,660,900,000",17708,Boomers
Barbados,2011,male,75+ years,0,6233,0.0,Barbados2011,0.786,"4,660,900,000",17708,Silent
Barbados,2012,female,15-24 years,0,18575,0.0,Barbados2012,0.793,"4,656,350,000",17620,Millenials
Barbados,2012,female,25-34 years,0,19421,0.0,Barbados2012,0.793,"4,656,350,000",17620,Millenials
Barbados,2012,female,75+ years,0,10166,0.0,Barbados2012,0.793,"4,656,350,000",17620,Silent
Barbados,2012,male,15-24 years,0,18579,0.0,Barbados2012,0.793,"4,656,350,000",17620,Millenials
Barbados,2012,male,25-34 years,0,18523,0.0,Barbados2012,0.793,"4,656,350,000",17620,Millenials
Barbados,2012,male,35-54 years,0,39060,0.0,Barbados2012,0.793,"4,656,350,000",17620,Generation X
Barbados,2012,male,5-14 years,0,19402,0.0,Barbados2012,0.793,"4,656,350,000",17620,Generation Z
Barbados,2012,male,75+ years,0,6375,0.0,Barbados2012,0.793,"4,656,350,000",17620,Silent
Barbados,2013,female,15-24 years,0,18473,0.0,Barbados2013,0.785,"4,612,500,000",17395,Millenials
Barbados,2013,female,25-34 years,0,19336,0.0,Barbados2013,0.785,"4,612,500,000",17395,Millenials
Barbados,2013,female,35-54 years,0,42518,0.0,Barbados2013,0.785,"4,612,500,000",17395,Generation X
Barbados,2013,female,55-74 years,0,29474,0.0,Barbados2013,0.785,"4,612,500,000",17395,Boomers
Barbados,2013,male,15-24 years,0,18497,0.0,Barbados2013,0.785,"4,612,500,000",17395,Millenials
Barbados,2013,male,35-54 years,0,38728,0.0,Barbados2013,0.785,"4,612,500,000",17395,Generation X
Barbados,2013,male,55-74 years,0,25209,0.0,Barbados2013,0.785,"4,612,500,000",17395,Boomers
Belarus,1990,male,35-54 years,729,1199400,60.78,Belarus1990,,"21,650,000,000",2301,Silent
Belarus,1990,male,75+ years,59,123400,47.81,Belarus1990,,"21,650,000,000",2301,G.I. Generation
Belarus,1990,male,15-24 years,132,702900,18.78,Belarus1990,,"21,650,000,000",2301,Generation X
Belarus,1990,female,75+ years,61,339400,17.97,Belarus1990,,"21,650,000,000",2301,G.I. Generation
Belarus,1990,female,55-74 years,158,1101700,14.34,Belarus1990,,"21,650,000,000",2301,G.I. Generation
Belarus,1990,female,35-54 years,144,1284200,11.21,Belarus1990,,"21,650,000,000",2301,Silent
Belarus,1990,female,15-24 years,24,706500,3.4,Belarus1990,,"21,650,000,000",2301,Generation X
Belarus,1991,male,75+ years,71,114800,61.85,Belarus1991,,"18,000,000,000",1899,G.I. Generation
Belarus,1991,male,25-34 years,342,826400,41.38,Belarus1991,,"18,000,000,000",1899,Boomers
Belarus,1991,female,75+ years,72,325800,22.1,Belarus1991,,"18,000,000,000",1899,G.I. Generation
Belarus,1991,female,55-74 years,175,1136700,15.4,Belarus1991,,"18,000,000,000",1899,Silent
Belarus,1991,female,15-24 years,30,702100,4.27,Belarus1991,,"18,000,000,000",1899,Generation X
Belarus,1991,male,5-14 years,14,807600,1.73,Belarus1991,,"18,000,000,000",1899,Millenials
Belarus,1992,male,35-54 years,845,1236700,68.33,Belarus1992,,"17,037,037,037",1780,Boomers
Belarus,1992,male,75+ years,57,108800,52.39,Belarus1992,,"17,037,037,037",1780,G.I. Generation
Belarus,1992,male,25-34 years,397,812400,48.87,Belarus1992,,"17,037,037,037",1780,Boomers
Belarus,1992,male,15-24 years,166,708800,23.42,Belarus1992,,"17,037,037,037",1780,Generation X
Belarus,1992,female,55-74 years,160,1171400,13.66,Belarus1992,,"17,037,037,037",1780,Silent
Belarus,1992,female,35-54 years,157,1309400,11.99,Belarus1992,,"17,037,037,037",1780,Boomers
Belarus,1992,female,25-34 years,50,811300,6.16,Belarus1992,,"17,037,037,037",1780,Boomers
Belarus,1992,female,15-24 years,31,708000,4.38,Belarus1992,,"17,037,037,037",1780,Generation X
Belarus,1993,male,35-54 years,1072,1254600,85.45,Belarus1993,,"16,280,991,736",1689,Boomers
Belarus,1993,male,55-74 years,577,792900,72.77,Belarus1993,,"16,280,991,736",1689,Silent
Belarus,1993,male,75+ years,64,105900,60.43,Belarus1993,,"16,280,991,736",1689,G.I. Generation
Belarus,1993,female,75+ years,64,310600,20.61,Belarus1993,,"16,280,991,736",1689,G.I. Generation
Belarus,1993,female,25-34 years,58,794600,7.3,Belarus1993,,"16,280,991,736",1689,Boomers
Belarus,1993,male,5-14 years,18,834500,2.16,Belarus1993,,"16,280,991,736",1689,Millenials
Belarus,1993,female,5-14 years,4,804600,0.5,Belarus1993,,"16,280,991,736",1689,Millenials
Belarus,1994,male,55-74 years,671,797700,84.12,Belarus1994,,"14,932,024,169",1547,Silent
Belarus,1994,male,25-34 years,458,773000,59.25,Belarus1994,,"14,932,024,169",1547,Boomers
Belarus,1994,male,15-24 years,208,726000,28.65,Belarus1994,,"14,932,024,169",1547,Generation X
Belarus,1994,female,55-74 years,227,1206100,18.82,Belarus1994,,"14,932,024,169",1547,Silent
Belarus,1994,female,25-34 years,60,784400,7.65,Belarus1994,,"14,932,024,169",1547,Boomers
Belarus,1994,female,15-24 years,36,719700,5.0,Belarus1994,,"14,932,024,169",1547,Generation X
Belarus,1994,male,5-14 years,16,833400,1.92,Belarus1994,,"14,932,024,169",1547,Millenials
Belarus,1994,female,5-14 years,2,807600,0.25,Belarus1994,,"14,932,024,169",1547,Millenials
Belarus,1995,male,55-74 years,699,805300,86.8,Belarus1995,,"13,972,676,841",1444,Silent
Belarus,1995,male,75+ years,71,101000,70.3,Belarus1995,,"13,972,676,841",1444,G.I. Generation
Belarus,1995,male,25-34 years,475,743800,63.86,Belarus1995,,"13,972,676,841",1444,Generation X
Belarus,1995,male,15-24 years,210,734800,28.58,Belarus1995,,"13,972,676,841",1444,Generation X
Belarus,1995,female,75+ years,49,304600,16.09,Belarus1995,,"13,972,676,841",1444,G.I. Generation
Belarus,1995,female,25-34 years,51,762300,6.69,Belarus1995,,"13,972,676,841",1444,Generation X
Belarus,1995,female,15-24 years,33,729900,4.52,Belarus1995,,"13,972,676,841",1444,Generation X
Belarus,1996,male,35-54 years,1391,1298200,107.15,Belarus1996,,"14,756,846,154",1524,Boomers
Belarus,1996,male,55-74 years,859,809000,106.18,Belarus1996,,"14,756,846,154",1524,Silent
Belarus,1996,male,25-34 years,518,722500,71.7,Belarus1996,,"14,756,846,154",1524,Generation X
Belarus,1996,male,15-24 years,224,743800,30.12,Belarus1996,,"14,756,846,154",1524,Generation X
Belarus,1996,female,55-74 years,214,1226000,17.46,Belarus1996,,"14,756,846,154",1524,Silent
Belarus,1996,female,35-54 years,170,1384800,12.28,Belarus1996,,"14,756,846,154",1524,Boomers
Belarus,1996,female,25-34 years,59,741800,7.95,Belarus1996,,"14,756,846,154",1524,Generation X
Belarus,1996,female,15-24 years,43,737300,5.83,Belarus1996,,"14,756,846,154",1524,Generation X
Belarus,1996,female,5-14 years,3,797600,0.38,Belarus1996,,"14,756,846,154",1524,Millenials
Belarus,1997,male,55-74 years,819,803300,101.95,Belarus1997,,"14,128,408,566",1458,Silent
Belarus,1997,male,35-54 years,1326,1326100,99.99,Belarus1997,,"14,128,408,566",1458,Boomers
Belarus,1997,male,25-34 years,487,709000,68.69,Belarus1997,,"14,128,408,566",1458,Generation X
Belarus,1997,female,75+ years,59,305000,19.34,Belarus1997,,"14,128,408,566",1458,G.I. Generation
Belarus,1997,female,35-54 years,188,1415500,13.28,Belarus1997,,"14,128,408,566",1458,Boomers
Belarus,1997,female,15-24 years,50,744100,6.72,Belarus1997,,"14,128,408,566",1458,Generation X
Belarus,1998,male,55-74 years,794,784600,101.2,Belarus1998,,"15,222,012,660",1570,Silent
Belarus,1998,female,75+ years,78,316400,24.65,Belarus1998,,"15,222,012,660",1570,G.I. Generation
Belarus,1998,female,25-34 years,51,716200,7.12,Belarus1998,,"15,222,012,660",1570,Generation X
Belarus,1998,male,5-14 years,12,787800,1.52,Belarus1998,,"15,222,012,660",1570,Millenials
Belarus,1999,male,55-74 years,739,771900,95.74,Belarus1999,,"12,138,486,532",1269,Silent
Belarus,1999,male,35-54 years,1178,1378000,85.49,Belarus1999,,"12,138,486,532",1269,Boomers
Belarus,1999,female,55-74 years,170,1157900,14.68,Belarus1999,,"12,138,486,532",1269,Silent
Belarus,1999,female,35-54 years,174,1465100,11.88,Belarus1999,,"12,138,486,532",1269,Boomers
Belarus,1999,female,25-34 years,67,697900,9.6,Belarus1999,,"12,138,486,532",1269,Generation X
Belarus,2000,male,35-54 years,1334,1403903,95.02,Belarus2000,0.683,"12,736,856,828",1335,Boomers
Belarus,2000,male,75+ years,89,110565,80.5,Belarus2000,0.683,"12,736,856,828",1335,G.I. Generation
Belarus,2000,male,15-24 years,306,786483,38.91,Belarus2000,0.683,"12,736,856,828",1335,Generation X
Belarus,2000,female,75+ years,67,331579,20.21,Belarus2000,0.683,"12,736,856,828",1335,G.I. Generation
Belarus,2000,female,35-54 years,170,1497056,11.36,Belarus2000,0.683,"12,736,856,828",1335,Boomers
Belarus,2000,female,25-34 years,54,693860,7.78,Belarus2000,0.683,"12,736,856,828",1335,Generation X
Belarus,2000,female,15-24 years,36,754801,4.77,Belarus2000,0.683,"12,736,856,828",1335,Generation X
Belarus,2000,male,5-14 years,20,717646,2.79,Belarus2000,0.683,"12,736,856,828",1335,Millenials
Belarus,2001,male,75+ years,82,116090,70.63,Belarus2001,,"12,354,820,144",1299,Silent
Belarus,2001,female,75+ years,73,346664,21.06,Belarus2001,,"12,354,820,144",1299,Silent
Belarus,2001,female,55-74 years,162,1094844,14.8,Belarus2001,,"12,354,820,144",1299,Silent
Belarus,2001,female,25-34 years,53,691653,7.66,Belarus2001,,"12,354,820,144",1299,Generation X
Belarus,2001,female,15-24 years,36,768639,4.68,Belarus2001,,"12,354,820,144",1299,Millenials
Belarus,2001,male,5-14 years,17,681448,2.49,Belarus2001,,"12,354,820,144",1299,Millenials
Belarus,2002,male,55-74 years,607,719837,84.32,Belarus2002,,"14,594,249,023",1541,Silent
Belarus,2002,male,25-34 years,515,688769,74.77,Belarus2002,,"14,594,249,023",1541,Generation X
Belarus,2002,male,75+ years,79,122862,64.3,Belarus2002,,"14,594,249,023",1541,Silent
Belarus,2002,male,15-24 years,296,814826,36.33,Belarus2002,,"14,594,249,023",1541,Millenials
Belarus,2002,female,55-74 years,149,1076366,13.84,Belarus2002,,"14,594,249,023",1541,Silent
Belarus,2002,female,25-34 years,65,691146,9.4,Belarus2002,,"14,594,249,023",1541,Generation X
Belarus,2002,female,5-14 years,5,609886,0.82,Belarus2002,,"14,594,249,023",1541,Millenials
Belarus,2003,male,15-24 years,285,824213,34.58,Belarus2003,,"17,827,791,321",1892,Millenials
Belarus,2003,female,75+ years,78,374617,20.82,Belarus2003,,"17,827,791,321",1892,Silent
Belarus,2003,female,35-54 years,179,1536542,11.65,Belarus2003,,"17,827,791,321",1892,Boomers
Belarus,2003,female,25-34 years,57,692961,8.23,Belarus2003,,"17,827,791,321",1892,Generation X
Belarus,2003,female,15-24 years,46,789030,5.83,Belarus2003,,"17,827,791,321",1892,Millenials
Belarus,2003,male,5-14 years,11,605243,1.82,Belarus2003,,"17,827,791,321",1892,Millenials
Belarus,2007,male,75+ years,122,157647,77.39,Belarus2007,,"45,277,399,814",4898,Silent
Belarus,2007,male,55-74 years,506,710519,71.22,Belarus2007,,"45,277,399,814",4898,Silent
Belarus,2007,male,25-34 years,405,723119,56.01,Belarus2007,,"45,277,399,814",4898,Generation X
Belarus,2007,male,15-24 years,261,801445,32.57,Belarus2007,,"45,277,399,814",4898,Millenials
Belarus,2007,female,75+ years,70,424470,16.49,Belarus2007,,"45,277,399,814",4898,Silent
Belarus,2007,female,55-74 years,127,1054993,12.04,Belarus2007,,"45,277,399,814",4898,Silent
Belarus,2007,female,35-54 years,163,1518188,10.74,Belarus2007,,"45,277,399,814",4898,Boomers
Belarus,2007,female,15-24 years,37,768164,4.82,Belarus2007,,"45,277,399,814",4898,Millenials
Belarus,2007,female,5-14 years,3,474089,0.63,Belarus2007,,"45,277,399,814",4898,Generation Z
Belarus,2008,male,75+ years,131,159724,82.02,Belarus2008,,"60,763,483,146",6601,Silent
Belarus,2008,male,35-54 years,961,1395695,68.85,Belarus2008,,"60,763,483,146",6601,Boomers
Belarus,2008,male,55-74 years,481,716132,67.17,Belarus2008,,"60,763,483,146",6601,Silent
Belarus,2008,female,75+ years,63,432516,14.57,Belarus2008,,"60,763,483,146",6601,Silent
Belarus,2008,female,25-34 years,66,723117,9.13,Belarus2008,,"60,763,483,146",6601,Generation X
Belarus,2008,female,15-24 years,29,745464,3.89,Belarus2008,,"60,763,483,146",6601,Millenials
Belarus,2008,female,5-14 years,2,458327,0.44,Belarus2008,,"60,763,483,146",6601,Generation Z
Belarus,2009,male,75+ years,145,159050,91.17,Belarus2009,,"49,209,523,810",5366,Silent
Belarus,2009,male,55-74 years,466,726459,64.15,Belarus2009,,"49,209,523,810",5366,Silent
Belarus,2009,female,75+ years,74,434130,17.05,Belarus2009,,"49,209,523,810",5366,Silent
Belarus,2009,male,5-14 years,9,473483,1.9,Belarus2009,,"49,209,523,810",5366,Generation Z
Belarus,2009,female,5-14 years,3,447324,0.67,Belarus2009,,"49,209,523,810",5366,Generation Z
Belarus,2010,male,75+ years,115,158977,72.34,Belarus2010,0.786,"57,222,490,769",6371,Silent
Belarus,2010,male,35-54 years,869,1353782,64.19,Belarus2010,0.786,"57,222,490,769",6371,Generation X
Belarus,2010,male,55-74 years,458,744533,61.52,Belarus2010,0.786,"57,222,490,769",6371,Silent
Belarus,2010,male,15-24 years,240,707657,33.91,Belarus2010,0.786,"57,222,490,769",6371,Millenials
Belarus,2010,female,75+ years,62,432426,14.34,Belarus2010,0.786,"57,222,490,769",6371,Silent
Belarus,2010,female,25-34 years,60,715558,8.39,Belarus2010,0.786,"57,222,490,769",6371,Generation X
Belarus,2010,female,55-74 years,83,1092687,7.6,Belarus2010,0.786,"57,222,490,769",6371,Silent
Belarus,2010,male,5-14 years,5,462298,1.08,Belarus2010,0.786,"57,222,490,769",6371,Generation Z
Belarus,2010,female,5-14 years,1,437506,0.23,Belarus2010,0.786,"57,222,490,769",6371,Generation Z
Belarus,2011,male,75+ years,112,161762,69.24,Belarus2011,0.793,"61,757,788,945",6902,Silent
Belarus,2011,male,55-74 years,415,755610,54.92,Belarus2011,0.793,"61,757,788,945",6902,Boomers
Belarus,2011,female,75+ years,69,441193,15.64,Belarus2011,0.793,"61,757,788,945",6902,Silent
Belarus,2011,female,35-54 years,141,1470135,9.59,Belarus2011,0.793,"61,757,788,945",6902,Generation X
Belarus,2011,female,55-74 years,91,1104192,8.24,Belarus2011,0.793,"61,757,788,945",6902,Boomers
Belarus,2011,female,25-34 years,42,724263,5.8,Belarus2011,0.793,"61,757,788,945",6902,Millenials
Belarus,2011,female,15-24 years,36,639397,5.63,Belarus2011,0.793,"61,757,788,945",6902,Millenials
Belarus,2011,male,5-14 years,10,459834,2.17,Belarus2011,0.793,"61,757,788,945",6902,Generation Z
Belarus,2013,male,75+ years,125,169369,73.8,Belarus2013,0.796,"75,527,984,234",8477,Silent
Belarus,2013,male,55-74 years,376,786132,47.83,Belarus2013,0.796,"75,527,984,234",8477,Boomers
Belarus,2013,male,35-54 years,609,1316641,46.25,Belarus2013,0.796,"75,527,984,234",8477,Generation X
Belarus,2013,male,15-24 years,145,609560,23.79,Belarus2013,0.796,"75,527,984,234",8477,Millenials
Belarus,2013,female,25-34 years,45,739769,6.08,Belarus2013,0.796,"75,527,984,234",8477,Millenials
Belarus,2013,male,5-14 years,5,471922,1.06,Belarus2013,0.796,"75,527,984,234",8477,Generation Z
Belarus,2014,male,15-24 years,128,578690,22.12,Belarus2014,0.798,"78,813,839,984",8849,Millenials
Belarus,2014,female,55-74 years,68,1149649,5.91,Belarus2014,0.798,"78,813,839,984",8849,Boomers
Belarus,2014,female,25-34 years,41,745490,5.5,Belarus2014,0.798,"78,813,839,984",8849,Millenials
Belarus,2014,female,5-14 years,6,455300,1.32,Belarus2014,0.798,"78,813,839,984",8849,Generation Z
Belgium,1985,male,75+ years,214,210800,101.52,Belgium1985,0.774,"86,730,038,793",9356,G.I. Generation
Belgium,1985,male,55-74 years,449,876400,51.23,Belgium1985,0.774,"86,730,038,793",9356,G.I. Generation
Belgium,1985,female,75+ years,119,409900,29.03,Belgium1985,0.774,"86,730,038,793",9356,G.I. Generation
Belgium,1985,female,55-74 years,276,1029700,26.8,Belgium1985,0.774,"86,730,038,793",9356,G.I. Generation
Belgium,1985,male,15-24 years,109,775300,14.06,Belgium1985,0.774,"86,730,038,793",9356,Generation X
Belgium,1986,male,75+ years,211,215400,97.96,Belgium1986,,"120,661,220,336",12992,G.I. Generation
Belgium,1986,male,35-54 years,476,1237100,38.48,Belgium1986,,"120,661,220,336",12992,Silent
Belgium,1986,male,25-34 years,236,786200,30.02,Belgium1986,,"120,661,220,336",12992,Boomers
Belgium,1986,male,15-24 years,118,760500,15.52,Belgium1986,,"120,661,220,336",12992,Generation X
Belgium,1986,female,25-34 years,76,755700,10.06,Belgium1986,,"120,661,220,336",12992,Boomers
Belgium,1986,female,15-24 years,40,729100,5.49,Belgium1986,,"120,661,220,336",12992,Generation X
Belgium,1986,male,5-14 years,3,630300,0.48,Belgium1986,,"120,661,220,336",12992,Generation X
Belgium,1986,female,5-14 years,1,602600,0.17,Belgium1986,,"120,661,220,336",12992,Generation X
Belgium,1987,male,75+ years,222,214800,103.35,Belgium1987,,"150,194,077,688",16165,G.I. Generation
Belgium,1987,male,25-34 years,273,789200,34.59,Belgium1987,,"150,194,077,688",16165,Boomers
Belgium,1987,female,75+ years,113,422000,26.78,Belgium1987,,"150,194,077,688",16165,G.I. Generation
Belgium,1987,male,15-24 years,121,756300,16.0,Belgium1987,,"150,194,077,688",16165,Generation X
Belgium,1987,female,25-34 years,100,759300,13.17,Belgium1987,,"150,194,077,688",16165,Boomers
Belgium,1987,female,15-24 years,35,725700,4.82,Belgium1987,,"150,194,077,688",16165,Generation X
Belgium,1987,male,5-14 years,11,628100,1.75,Belgium1987,,"150,194,077,688",16165,Generation X
Belgium,1987,female,5-14 years,0,599700,0.0,Belgium1987,,"150,194,077,688",16165,Generation X
Belgium,1988,male,55-74 years,390,901500,43.26,Belgium1988,,"163,167,853,538",17509,G.I. Generation
Belgium,1988,female,55-74 years,211,1044800,20.2,Belgium1988,,"163,167,853,538",17509,G.I. Generation
Belgium,1988,female,35-54 years,213,1229900,17.32,Belgium1988,,"163,167,853,538",17509,Silent
Belgium,1988,female,25-34 years,86,767800,11.2,Belgium1988,,"163,167,853,538",17509,Boomers
Belgium,1988,male,5-14 years,8,624200,1.28,Belgium1988,,"163,167,853,538",17509,Generation X
Belgium,1988,female,5-14 years,1,595000,0.17,Belgium1988,,"163,167,853,538",17509,Generation X
Belgium,1989,male,75+ years,220,220800,99.64,Belgium1989,,"165,100,094,595",17659,G.I. Generation
Belgium,1989,male,55-74 years,351,908400,38.64,Belgium1989,,"165,100,094,595",17659,G.I. Generation
Belgium,1989,male,15-24 years,126,730000,17.26,Belgium1989,,"165,100,094,595",17659,Generation X
Belgium,1989,female,35-54 years,190,1243700,15.28,Belgium1989,,"165,100,094,595",17659,Silent
Belgium,1989,female,15-24 years,27,700100,3.86,Belgium1989,,"165,100,094,595",17659,Generation X
Belgium,1990,male,75+ years,208,221900,93.74,Belgium1990,0.806,"206,430,841,502",22032,G.I. Generation
Belgium,1990,male,35-54 years,422,1285200,32.84,Belgium1990,0.806,"206,430,841,502",22032,Silent
Belgium,1990,male,25-34 years,213,811000,26.26,Belgium1990,0.806,"206,430,841,502",22032,Boomers
Belgium,1990,female,75+ years,95,439600,21.61,Belgium1990,0.806,"206,430,841,502",22032,G.I. Generation
Belgium,1990,female,25-34 years,81,781400,10.37,Belgium1990,0.806,"206,430,841,502",22032,Boomers
Belgium,1990,female,5-14 years,0,590000,0.0,Belgium1990,0.806,"206,430,841,502",22032,Generation X
Belgium,1991,male,75+ years,205,219300,93.48,Belgium1991,,"211,637,816,539",22523,G.I. Generation
Belgium,1991,male,35-54 years,424,1304700,32.5,Belgium1991,,"211,637,816,539",22523,Boomers
Belgium,1991,male,25-34 years,235,813800,28.88,Belgium1991,,"211,637,816,539",22523,Boomers
Belgium,1991,female,55-74 years,172,1063800,16.17,Belgium1991,,"211,637,816,539",22523,Silent
Belgium,1991,female,35-54 years,184,1277400,14.4,Belgium1991,,"211,637,816,539",22523,Boomers
Belgium,1991,male,15-24 years,100,696300,14.36,Belgium1991,,"211,637,816,539",22523,Generation X
Belgium,1991,female,25-34 years,71,783200,9.07,Belgium1991,,"211,637,816,539",22523,Boomers
Belgium,1991,male,5-14 years,4,618500,0.65,Belgium1991,,"211,637,816,539",22523,Millenials
Belgium,1991,female,5-14 years,1,589600,0.17,Belgium1991,,"211,637,816,539",22523,Millenials
Belgium,1992,male,75+ years,178,213800,83.26,Belgium1992,,"236,038,384,442",25036,G.I. Generation
Belgium,1992,male,25-34 years,235,813500,28.89,Belgium1992,,"236,038,384,442",25036,Boomers
Belgium,1992,female,75+ years,94,428600,21.93,Belgium1992,,"236,038,384,442",25036,G.I. Generation
Belgium,1992,male,5-14 years,5,619100,0.81,Belgium1992,,"236,038,384,442",25036,Millenials
Belgium,1993,male,75+ years,196,206300,95.01,Belgium1993,,"225,924,679,921",23875,G.I. Generation
Belgium,1993,male,35-54 years,573,1346000,42.57,Belgium1993,,"225,924,679,921",23875,Boomers
Belgium,1993,male,55-74 years,365,956900,38.14,Belgium1993,,"225,924,679,921",23875,Silent
Belgium,1993,male,25-34 years,276,810400,34.06,Belgium1993,,"225,924,679,921",23875,Boomers
Belgium,1993,female,75+ years,94,419100,22.43,Belgium1993,,"225,924,679,921",23875,G.I. Generation
Belgium,1993,female,35-54 years,196,1315100,14.9,Belgium1993,,"225,924,679,921",23875,Boomers
Belgium,1994,male,75+ years,200,204800,97.66,Belgium1994,,"246,194,938,751",25922,G.I. Generation
Belgium,1994,male,35-54 years,538,1367300,39.35,Belgium1994,,"246,194,938,751",25922,Boomers
Belgium,1994,male,55-74 years,378,968900,39.01,Belgium1994,,"246,194,938,751",25922,Silent
